algorithm,function,dim,min,max,median,mean,std,ranking
ctxt1_sol_0.py,1,10,6.0099314226163,40.87480576789135,16.620860606680438,18.845577537989804,9.11461156840564,1.0
ctxt1_sol_1.py,1,10,19133.290627058057,82785.55763439188,47165.31232241842,49715.146156339586,20307.56186107324,3.0
random_search_sol_0.py,1,10,2423.6634199070327,7986.116538522073,6165.73619501794,5742.4804508228835,1438.5074713701858,2.0
ctxt1_sol_0.py,2,10,0.07033703736453813,87.77436117480622,6.705288609014191,18.318840168239262,28.538041945339394,1.0
ctxt1_sol_1.py,2,10,74.31252507716007,3033.2463379592764,665.3763351615762,848.0576841853521,714.3819674745188,3.0
random_search_sol_0.py,2,10,53.90823586392323,230.70056221643736,179.02805821153305,176.34440412353194,37.09111628231727,2.0
ctxt1_sol_0.py,3,10,0.2460798950333843,57.33864748728922,0.9768995821720166,7.169083085363318,13.061589265535474,1.0
ctxt1_sol_1.py,3,10,54.71751889472007,127.85811945601735,113.05584267469733,110.68961566418162,18.956492119988816,3.0
random_search_sol_0.py,3,10,22.6175842736064,43.83214389215762,34.435285733124005,33.639369096451254,5.191337150796913,2.0
ctxt1_sol_0.py,4,10,31.93877168969519,131.6509271278722,88.87485256738219,83.52431194628522,27.417462076997186,2.0
ctxt1_sol_1.py,4,10,98.74516052318371,211.37049953600447,138.160986578396,143.04300843386108,28.056278978984075,3.0
random_search_sol_0.py,4,10,35.059052617359804,65.58474271840541,53.854995600853854,53.04885020299901,5.998387365826711,1.0
ctxt1_sol_0.py,5,10,0.32537946331047063,3592.420958470426,4.0230269097391105,569.7010012817816,1167.5959670377322,1.0
ctxt1_sol_1.py,5,10,837.0012543770072,9464.864582714605,3917.7993326084943,4569.738621398288,2202.8997534617956,3.0
random_search_sol_0.py,5,10,259.67623441996017,919.5262831569124,585.7951069143426,628.003311772267,142.15619911912304,2.0
ctxt1_sol_0.py,6,10,120.17256988866026,6756.997921384424,2076.2820617118578,2535.890561112106,1892.7608763010442,1.0
ctxt1_sol_1.py,6,10,189137.22059724692,1617865961.4275308,78598727.55135545,169284287.02403304,304202692.1383937,3.0
random_search_sol_0.py,6,10,80186.70629980114,15919917.94226459,4506403.492713691,4833790.037274649,3365540.231131914,2.0
ctxt1_sol_0.py,7,10,0.5159654039391594,143.13934979672302,20.854396705501944,45.479330596680505,47.60560080695232,1.0
ctxt1_sol_1.py,7,10,121.14168816964434,427.32136647027903,294.843187181743,280.6926085897289,75.64369696398103,3.0
random_search_sol_0.py,7,10,56.348325333256014,79.96340801995763,67.81979801296197,67.55497526231237,6.607553489442999,2.0
ctxt1_sol_0.py,8,10,1.934456302843136,188.35321260507612,54.21143139996883,73.31257632236994,59.611325897415725,1.5
ctxt1_sol_1.py,8,10,39.38960405452375,462.4162687478567,190.42842688472882,204.61776373437124,114.01461232334506,3.0
random_search_sol_0.py,8,10,29.527938464010838,41.923896879187396,35.42572414585641,35.22353106715409,2.903402184157946,1.5
ctxt1_sol_0.py,9,10,208.05417646136084,376.4043266972792,229.28579836121878,238.38617747831603,37.07929275418703,1.0
ctxt1_sol_1.py,9,10,402.5726144603199,828.6490819635212,591.9528073731286,606.7249388028229,111.65313474017606,3.0
random_search_sol_0.py,9,10,281.77871057736525,364.3702841077673,329.89913364383875,326.92020104148446,20.17751518509041,2.0
ctxt1_sol_0.py,10,10,100.30485058811792,640.8532432326211,323.96248557523325,348.40473585975894,169.63602791752373,2.0
ctxt1_sol_1.py,10,10,232.12641380735727,2396.7481497923463,2388.6605159449937,2001.7145831459463,657.721359178877,3.0
random_search_sol_0.py,10,10,101.58925829623473,118.76261371110877,113.88918316943678,112.97596089074074,4.082414176593722,1.0
ctxt1_sol_0.py,11,10,4.585540352762845,402.628827370219,318.15647228203784,252.78029017460696,153.12610682272066,1.5
ctxt1_sol_1.py,11,10,230.1138578639316,4072.330541549441,1564.0020800179454,1756.0183042210642,1143.551300974539,3.0
random_search_sol_0.py,11,10,236.7408247628468,373.7893297083441,295.30541061027225,299.0167811450528,35.60867719019897,1.5
ctxt1_sol_0.py,12,10,163.58336505262292,445.4948512826818,167.3868249414327,206.880074843239,80.58224278224064,1.0
ctxt1_sol_1.py,12,10,192.11794926048162,192.11794926048162,192.11794926048162,192.1179492604816,2.842170943040401e-14,2.0
random_search_sol_0.py,12,10,188.4873290253785,218.10706387675106,203.26326660773685,202.80913435977376,8.305728142327611,3.0
