,score,ranking
random_search_sol_0.py,54,1.0
ctxt1_sol_3.py,36,2.0
ctxt1_sol_8.py,-10,3.5
ctxt1_sol_1.py,-10,3.5
ctxt1_sol_0.py,-23,5.0
ctxt1_sol_2.py,-47,6.0
