algorithm,function,dim,min,max,median,mean,std,ranking
ctxt1_sol_0.py,5,10,1155.9618642252701,3826.4653035491274,2637.4382611344636,2563.954873333161,636.9616323809232,4.5
ctxt1_sol_1.py,5,10,1157.533447278688,4159.238798479994,2486.1174564741696,2641.1068994947955,712.7475338407868,4.5
ctxt1_sol_2.py,5,10,1645.2278446788598,4387.236266936064,2748.311772663716,2881.3512010884497,706.7451113255031,6.0
ctxt1_sol_3.py,5,10,1042.9418248663833,2639.6756376573276,2204.862318997588,2155.78842066705,341.247069793804,2.0
ctxt1_sol_8.py,5,10,978.0017727117284,3610.7083788588516,2146.4846802741486,2268.4111315742402,604.9936249176153,3.0
random_search_sol_0.py,5,10,259.67623441996017,919.5262831569124,585.7951069143426,628.003311772267,142.15619911912304,1.0
ctxt1_sol_0.py,6,10,1556322.5079268783,1013113569.1613673,168050260.32482162,264116910.79939744,262136577.07981423,5.0
ctxt1_sol_1.py,6,10,3869359.0042580836,1302762743.410592,114427576.46774572,244474841.19964805,331030485.73343855,3.5
ctxt1_sol_2.py,6,10,33431363.628013838,1006929719.3772458,219870698.25451136,332646388.07373494,297545974.9569238,6.0
ctxt1_sol_3.py,6,10,222980.84811606788,262865579.45877063,17362777.488526627,34025344.328767076,48935729.5626744,2.0
ctxt1_sol_8.py,6,10,9860017.352191675,451413130.1713483,124825787.33208549,175511181.53709716,121745502.93769245,3.5
random_search_sol_0.py,6,10,80186.70629980114,15919917.94226459,4506403.492713691,4833790.037274649,3365540.231131914,1.0
ctxt1_sol_0.py,7,10,84.92286046591848,290.3091795585779,159.151761794074,174.59818539880274,57.31083610616384,5.5
ctxt1_sol_1.py,7,10,89.26235724019574,263.5631831231758,138.0807675109268,150.2227685471006,51.217431363353825,4.0
ctxt1_sol_2.py,7,10,98.31131421043355,295.5256823173244,152.43086522169727,168.7720750662066,51.584056850250875,5.5
ctxt1_sol_3.py,7,10,55.599294812071996,229.50494893618094,115.37439082862576,123.16538727087324,42.13000981711911,2.5
ctxt1_sol_8.py,7,10,86.66445450537006,186.92742240676924,124.39224281224502,130.04687616701213,27.907895718878294,2.5
random_search_sol_0.py,7,10,56.348325333256014,79.96340801995763,67.81979801296197,67.55497526231237,6.607553489442999,1.0
ctxt1_sol_0.py,8,10,56.079836826259246,3671.3127092031045,214.97691707108555,350.2113321317017,631.8364390678239,5.0
ctxt1_sol_1.py,8,10,51.22741557737277,279.4536871656083,188.90135665922796,171.77428628176446,63.8533737013867,3.0
ctxt1_sol_2.py,8,10,50.80331899731473,3805.255391630326,225.30418802408522,400.57499228833905,677.8410260189681,6.0
ctxt1_sol_3.py,8,10,49.567939281707304,292.1246912129923,126.7463989920036,137.24236910123682,68.46852133651043,2.0
ctxt1_sol_8.py,8,10,41.7103076111471,295.32889357587754,196.04905662101189,179.71434413306366,59.73986137626899,4.0
random_search_sol_0.py,8,10,29.527938464010838,41.923896879187396,35.42572414585641,35.22353106715409,2.903402184157946,1.0
ctxt1_sol_0.py,9,10,267.7430303345026,540.8087088124643,360.970105607131,378.35413661521477,75.53234602590096,4.5
ctxt1_sol_1.py,9,10,255.95091532251556,640.3070922390334,311.42202986882825,352.4286213973533,99.66663928880368,3.0
ctxt1_sol_2.py,9,10,269.4972957528847,612.4595407967755,420.21058352075056,425.12243044969716,73.61523934373763,6.0
ctxt1_sol_3.py,9,10,253.00875252796305,358.74664562840474,279.45606364003925,286.02078475227324,26.791015860575296,1.0
ctxt1_sol_8.py,9,10,280.8766653089242,491.72813064871343,361.45895688903136,365.62986281577486,56.07541994016645,4.5
random_search_sol_0.py,9,10,281.77871057736525,364.3702841077673,329.89913364383875,326.92020104148446,20.17751518509041,2.0
ctxt1_sol_0.py,10,10,120.21476319080101,2203.7420168763365,473.7036480705708,841.6359215917192,692.0096337662641,5.0
ctxt1_sol_1.py,10,10,134.48577661448203,1948.2574675387775,205.89409814127032,601.9407939768716,605.5127446681228,4.0
ctxt1_sol_2.py,10,10,153.49743107015237,2155.200605474747,503.8145883504818,943.0673404771953,797.5036348849412,6.0
ctxt1_sol_3.py,10,10,122.11556882870657,1586.818572617588,149.1957470995294,303.6360815691996,394.1292304532736,2.0
ctxt1_sol_8.py,10,10,151.30724659781126,1828.2240247757559,184.47783935803596,466.9551919441547,506.9570635398428,3.0
random_search_sol_0.py,10,10,101.58925829623473,118.76261371110877,113.88918316943678,112.97596089074074,4.082414176593722,1.0
ctxt1_sol_0.py,11,10,509.1666801967457,2609.900166411005,1622.4123622730199,1611.6574318620892,574.8971364247312,5.0
ctxt1_sol_1.py,11,10,728.0033467410065,2533.4771857569513,1214.6857693677018,1441.710514666072,594.7899485604679,5.0
ctxt1_sol_2.py,11,10,573.4060671575074,2943.4345235027395,1688.659242419098,1722.7464058909004,680.7913594315274,5.0
ctxt1_sol_3.py,11,10,374.3696238278229,2075.2830953783628,865.4730848232945,1080.876528854315,500.3259484384356,2.5
ctxt1_sol_8.py,11,10,460.1117768547261,1879.2689912519731,1038.2144893519585,1089.0581391293615,414.2303619433048,2.5
random_search_sol_0.py,11,10,236.7408247628468,373.7893297083441,295.30541061027225,299.0167811450528,35.60867719019897,1.0
ctxt1_sol_0.py,12,10,173.57970094082617,381.79264296573416,226.39249159389755,234.00306843543657,48.08510525709428,5.0
ctxt1_sol_1.py,12,10,170.64386416518764,270.9309729190372,200.59555250628262,203.60889253077156,22.361903560114776,2.5
ctxt1_sol_2.py,12,10,183.428958004702,403.03212795196293,223.22237099703563,236.31844493311928,45.46841335422987,5.0
ctxt1_sol_3.py,12,10,166.9214571937662,213.33379040430935,172.07325592282763,176.24266793324122,10.320680737182052,1.0
ctxt1_sol_8.py,12,10,185.36932607922378,261.28155466803275,219.44109271444592,217.45339968325194,15.520863677834555,5.0
random_search_sol_0.py,12,10,188.4873290253785,218.10706387675106,203.26326660773685,202.80913435977376,8.305728142327611,2.5
