,ctxt1_sol_0.py,ctxt1_sol_1.py,ctxt1_sol_2.py,ctxt1_sol_3.py,ctxt1_sol_8.py,random_search_sol_0.py
ctxt1_sol_0.py,0,-2,5,-12,-2,-12
ctxt1_sol_1.py,2,0,8,-11,1,-10
ctxt1_sol_2.py,-5,-8,0,-12,-10,-12
ctxt1_sol_3.py,12,11,12,0,9,-8
ctxt1_sol_8.py,2,-1,10,-9,0,-12
random_search_sol_0.py,12,10,12,8,12,0
