,score,ranking
ctxt1_sol_2.py,35,1.0
ctxt1_sol_4.py,31,2.0
ctxt1_sol_0.py,13,3.0
ctxt1_sol_1.py,11,4.0
random_search_sol_0.py,-32,5.0
ctxt1_sol_3.py,-58,6.0
