,score,ranking
ctxtfull_sol_6.py,46,1.0
ctxtfull_sol_7.py,21,2.0
ctxtfull_sol_5.py,17,3.0
ctxtfull_sol_0.py,4,4.0
random_search_sol_0.py,-28,5.0
ctxtfull_sol_4.py,-60,6.0
