algorithm,function,dim,min,max,median,mean,std,ranking
ctxtfull_sol_0.py,1,10,4141.028200206791,37297.10493343171,15633.698182269634,16235.02469215784,7404.650494289783,5.0
ctxtfull_sol_4.py,1,10,6530.712078344673,725395.1933000496,43353.19377875728,80151.39460317056,129839.51508040784,6.0
ctxtfull_sol_5.py,1,10,2678.415108152616,29146.044846247176,10635.99459476773,12448.70052232096,7173.283621013952,4.0
ctxtfull_sol_6.py,1,10,307.09252001161695,16086.55978500969,4338.064154284236,5268.953447090774,3835.868988497598,2.5
ctxtfull_sol_7.py,1,10,29.065526471673753,198.50386392610645,90.91123315364273,97.088614904974,43.90023456775271,1.0
random_search_sol_0.py,1,10,2423.6634199070327,7986.116538522073,6165.73619501794,5742.4804508228835,1438.5074713701858,2.5
ctxtfull_sol_0.py,2,10,0.012323795317135181,91.53321881015117,4.571366989241953,23.355191073090865,32.69153727095297,3.5
ctxtfull_sol_4.py,2,10,504.4744617433173,4104.329482009852,1655.0928975867175,1834.4904701132587,999.150103559148,6.0
ctxtfull_sol_5.py,2,10,0.0008117602720139012,91.21947310911187,8.181322250096832,36.16966449457183,35.663860055574126,3.5
ctxtfull_sol_6.py,2,10,0.001668595585057179,68.4100038425841,0.05136219479875443,2.993479196757785,12.238929711390265,1.0
ctxtfull_sol_7.py,2,10,0.08615691538023947,73.06796121195987,0.4199578305744644,5.617719284730509,17.956175166459055,2.0
random_search_sol_0.py,2,10,53.90823586392323,230.70056221643736,179.02805821153305,176.34440412353194,37.09111628231727,5.0
ctxtfull_sol_0.py,3,10,0.11052795012764172,0.6628658070303374,0.21111842519845297,0.25430539006408,0.1404440161762364,3.0
ctxtfull_sol_4.py,3,10,51.46246268090704,104.83088779971854,77.97340004152728,78.90898166593503,12.25342280832759,6.0
ctxtfull_sol_5.py,3,10,4.5887165730768e-05,0.005246018655681484,0.0003168295744746648,0.0004824263726045539,0.0009053679753731805,1.0
ctxtfull_sol_6.py,3,10,0.0034847117642980143,0.03371810245737139,0.011477375530575297,0.012852778732310199,0.007310951713898425,2.0
