,ctxtfull_sol_0.py,ctxtfull_sol_4.py,ctxtfull_sol_5.py,ctxtfull_sol_6.py,ctxtfull_sol_7.py,random_search_sol_0.py,score,ranking
ctxtfull_sol_5.py,+,+,0,+,+,+,5,1.0
ctxtfull_sol_6.py,+,+,-,0,+,+,3,2.0
ctxtfull_sol_0.py,0,+,-,-,=,+,0,3.5
ctxtfull_sol_7.py,=,+,-,-,0,+,0,3.5
random_search_sol_0.py,-,+,-,-,-,0,-3,5.0
ctxtfull_sol_4.py,-,0,-,-,-,-,-5,6.0
