,ctxtfull_sol_0.py,ctxtfull_sol_4.py,ctxtfull_sol_5.py,ctxtfull_sol_6.py,ctxtfull_sol_7.py,random_search_sol_0.py
ctxtfull_sol_0.py,0,12,-4,-10,-3,9
ctxtfull_sol_4.py,-12,0,-12,-12,-12,-12
ctxtfull_sol_5.py,4,12,0,-6,-1,8
ctxtfull_sol_6.py,10,12,6,0,7,11
ctxtfull_sol_7.py,3,12,1,-7,0,12
random_search_sol_0.py,-9,12,-8,-11,-12,0
