algorithm,function,dim,min,max,median,mean,std,ranking
ctxt1_sol_0.py,1,10,19613.681526034015,82575.65234606281,44670.18752669923,48239.17670465698,16840.228214800587,4.5
ctxt1_sol_1.py,1,10,20755.650816870264,75990.85744628523,43962.48799347581,45473.640371120404,13631.334683437764,4.5
ctxt1_sol_2.py,1,10,243.16322529731434,1445.7721103914892,907.3673111600901,893.2572301376088,350.81898804120664,2.0
ctxt1_sol_3.py,1,10,0.0,0.0,0.0,0.0,0.0,1.0
random_search_sol_0.py,1,10,2423.6634199070327,7986.116538522073,6165.73619501794,5742.4804508228835,1438.5074713701858,3.0
ctxt1_sol_0.py,2,10,165.60726900640242,1152.066931513332,493.9738346978812,533.7425958945252,226.00213601221265,5.0
ctxt1_sol_1.py,2,10,152.5653575129731,685.1047958580941,407.822613909829,398.56812100693713,126.46705590501975,4.0
ctxt1_sol_2.py,2,10,8.985336808681032,63.82016125231781,10.484316583158007,12.681338046561343,9.853639488465202,2.0
ctxt1_sol_3.py,2,10,0.02541354375906583,4.113084892102766,4.021967534010633,2.320945128964358,1.9754083750479772,1.0
random_search_sol_0.py,2,10,53.90823586392323,230.70056221643736,179.02805821153305,176.34440412353194,37.09111628231727,3.0
ctxt1_sol_0.py,3,10,69.64148991291277,119.4404159089863,83.17847948286251,84.51068039724102,11.964781403917002,5.0
ctxt1_sol_1.py,3,10,46.50452188998467,121.28884055494726,75.90886497067584,76.70913662403049,13.923718008954477,4.0
ctxt1_sol_2.py,3,10,3.8833920523755805,8.46148866699083,5.861048838083304,6.126451812742611,1.3034956381011236,2.0
ctxt1_sol_3.py,3,10,0.0001746437887418761,2.0697160797464913,0.03538242714447424,0.15365154899927205,0.38287926181169063,1.0
random_search_sol_0.py,3,10,22.6175842736064,43.83214389215762,34.435285733124005,33.639369096451254,5.191337150796913,3.0
ctxt1_sol_0.py,4,10,84.63500678194224,137.41492429003773,108.4588232325203,112.48535349324177,15.396029809769791,4.5
ctxt1_sol_1.py,4,10,84.46217276113387,124.10776887308539,110.01950949260349,108.83738753635902,8.772170133255456,4.5
ctxt1_sol_2.py,4,10,24.60782524112377,46.55272730459677,37.75035201079018,37.04732151363107,5.469922915667376,2.0
ctxt1_sol_3.py,4,10,3.979836228373161,14.924370742942134,10.447062542750938,10.546557268425337,2.7016936416439705,1.0
random_search_sol_0.py,4,10,35.059052617359804,65.58474271840541,53.854995600853854,53.04885020299901,5.998387365826711,3.0
ctxt1_sol_0.py,5,10,1154.8665090452896,5715.726095644066,3145.9996855132586,3337.1297555216233,1017.7525012593492,4.5
ctxt1_sol_1.py,5,10,2086.310457354043,4646.9260658730545,3337.1658816262807,3358.711020765241,567.111889008786,4.5
ctxt1_sol_2.py,5,10,17.326052577665884,69.13689928778082,27.107415974820736,31.348162728665923,12.791562797214258,2.0
ctxt1_sol_3.py,5,10,1.4997597826618576e-32,454.59137168957227,3.5345417609347245,35.54744477133466,97.46429327079119,1.0
random_search_sol_0.py,5,10,259.67623441996017,919.5262831569124,585.7951069143426,628.003311772267,142.15619911912304,3.0
ctxt1_sol_0.py,6,10,7175957.905797608,1477281149.2206435,349153306.84141254,423031277.76866937,352765411.7104685,5.0
ctxt1_sol_1.py,6,10,12608390.610157538,551160776.9151264,164489673.42854753,212926990.98688117,155935350.2774962,4.0
ctxt1_sol_2.py,6,10,4444.058554742338,140193.36581888844,30448.894832078127,37299.01903080511,29069.070787074786,2.0
ctxt1_sol_3.py,6,10,39.64083557435916,4808.6882004143345,1349.0073373328164,1801.602598282238,1595.9908265384452,1.0
random_search_sol_0.py,6,10,80186.70629980114,15919917.94226459,4506403.492713691,4833790.037274649,3365540.231131914,3.0
ctxt1_sol_0.py,7,10,127.12775961622741,328.22717021920204,209.23335689093503,208.01856779900203,45.78420950066231,5.0
ctxt1_sol_1.py,7,10,103.93630996340629,272.6170721168638,154.36949009628998,163.0464006963294,38.543834539997036,4.0
ctxt1_sol_2.py,7,10,25.140768871577265,34.91000269203525,29.72537055102442,29.760837073025307,2.8466132527052768,2.0
ctxt1_sol_3.py,7,10,3.9798983337525144,65.37005541974507,22.257049419235884,24.177248883122825,13.678081560785841,1.0
random_search_sol_0.py,7,10,56.348325333256014,79.96340801995763,67.81979801296197,67.55497526231237,6.607553489442999,3.0
ctxt1_sol_0.py,8,10,75.98830668753038,360.56301409376493,139.96344179704732,150.0703528203838,63.61716071042969,5.0
ctxt1_sol_1.py,8,10,46.053464427298216,195.3715429277925,89.9242326648776,99.81668010115854,40.12913433805807,4.0
ctxt1_sol_2.py,8,10,16.296355668699896,31.842789604147953,26.9891935975764,26.12166327724092,3.772235475410772,2.0
ctxt1_sol_3.py,8,10,0.04184079856061318,20.83789979185657,20.11919242446468,17.19572607505021,6.576866059450432,1.0
random_search_sol_0.py,8,10,29.527938464010838,41.923896879187396,35.42572414585641,35.22353106715409,2.903402184157946,3.0
ctxt1_sol_0.py,9,10,396.22770860119016,1021.984818342887,622.1455849523322,624.0171413295614,152.37944099532538,4.5
ctxt1_sol_1.py,9,10,397.9731492684017,743.1396528197868,531.6755798900534,556.3413745128236,95.18132394158104,4.5
ctxt1_sol_2.py,9,10,229.33042859691935,229.81677858708568,229.5741777600999,229.56572159477972,0.12337018244284467,2.0
