,score,ranking
ctxt1_sol_3.py,46,1.0
ctxt1_sol_2.py,26,2.0
random_search_sol_0.py,-4,3.0
ctxt1_sol_1.py,-27,4.0
ctxt1_sol_0.py,-41,5.0
