algorithm,function,dim,min,max,median,mean,std,ranking
random_search_sol_0,1,10,2423.6634199070327,7986.116538522073,6165.73619501794,5742.4804508228835,1438.5074713701858,1.0
random_search_sol_0,2,10,53.90823586392323,230.70056221643736,179.02805821153305,176.34440412353194,37.09111628231727,1.0
random_search_sol_0,3,10,22.6175842736064,43.83214389215762,34.435285733124005,33.639369096451254,5.191337150796913,1.0
random_search_sol_0,4,10,35.059052617359804,65.58474271840541,53.854995600853854,53.04885020299901,5.998387365826711,1.0
random_search_sol_0,5,10,259.67623441996017,919.5262831569124,585.7951069143426,628.003311772267,142.15619911912304,1.0
random_search_sol_0,6,10,80186.70629980114,15919917.94226459,4506403.492713691,4833790.037274649,3365540.231131914,1.0
random_search_sol_0,7,10,56.348325333256014,79.96340801995763,67.81979801296197,67.55497526231237,6.607553489442999,1.0
random_search_sol_0,8,10,29.527938464010838,41.923896879187396,35.42572414585641,35.22353106715409,2.903402184157946,1.0
random_search_sol_0,9,10,281.77871057736525,364.3702841077673,329.89913364383875,326.92020104148446,20.17751518509041,1.0
random_search_sol_0,10,10,101.58925829623473,118.76261371110877,113.88918316943678,112.97596089074074,4.082414176593722,1.0
random_search_sol_0,11,10,236.7408247628468,373.7893297083441,295.30541061027225,299.0167811450528,35.60867719019897,1.0
random_search_sol_0,12,10,188.4873290253785,218.10706387675106,203.26326660773685,202.80913435977376,8.305728142327611,1.0
