algorithm,function,dim,min,max,median,mean,std,ranking
0_random_search_sol_0.py,1,10,2423.6634199070327,7986.116538522073,6165.73619501794,5742.4804508228835,1438.5074713701858,9.5
1a_ctxtfull_sol_0.py,1,10,11.665923680690161,434.09821928684397,112.12927065813994,144.27753961593962,112.66206727686819,6.0
1b_ctxtfull_sol_2.py,1,10,12.808712314787323,616.6415510850272,135.62942499162767,178.28866428439548,143.67160518395767,6.0
1_ctxt1_sol_2.py,1,10,44.98408243399148,156.5488005028997,96.31950425041023,98.36278053972889,27.547451071215807,6.0
2_ctxt1_sol_3.py,1,10,13971.980693531596,39149.773570893696,26867.68073840224,26958.003274371284,5360.252334011255,11.0
2_ctxtfull_sol_6.py,1,10,307.09252001161695,16086.55978500969,4338.064154284236,5268.953447090774,3835.868988497598,9.5
3_ctxt1_sol_0.py,1,10,6.0099314226163,40.87480576789135,16.620860606680438,18.845577537989804,9.11461156840564,4.0
3_ctxtfull_sol_3.py,1,10,150.85171254069388,2116.039844246734,514.9804936221897,706.6817308491353,477.4671256001736,8.0
4_ctxt1_sol_3.py,1,10,6.482630322411397e-25,25570.691273366,1.4019361556415128e-21,1921.121004739249,4840.448421342136,2.0
4_ctxtfull_sol_4.py,1,10,2.0413776254473334e-09,4.232124823528849e-08,9.462750875478861e-09,1.3223685658711514e-08,1.1767901874807604e-08,3.0
5_ctxt1_sol_3.py,1,10,0.0,0.0,0.0,0.0,0.0,1.0
0_random_search_sol_0.py,2,10,53.90823586392323,230.70056221643736,179.02805821153305,176.34440412353194,37.09111628231727,10.0
1a_ctxtfull_sol_0.py,2,10,0.004840453121497182,73.08020327773534,8.920721405912733,18.310351320084358,25.99404849419153,8.0
1b_ctxtfull_sol_2.py,2,10,0.00666166867337494,76.64250564542493,8.041618245716675,13.582696401340053,22.89538670845486,5.5
1_ctxt1_sol_2.py,2,10,0.4250038332037635,9.120508309316016,0.7071463393111108,2.0257432611912467,2.4423534817972707,3.0
2_ctxt1_sol_3.py,2,10,221.2483347462133,866.9000971935907,433.18415614146113,461.49175138904826,161.9300482943912,11.0
2_ctxtfull_sol_6.py,2,10,0.001668595585057179,68.4100038425841,0.05136219479875443,2.993479196757785,12.238929711390265,1.0
3_ctxt1_sol_0.py,2,10,0.07033703736453813,87.77436117480622,6.705288609014191,18.318840168239262,28.538041945339394,7.0
3_ctxtfull_sol_3.py,2,10,0.09561344232858338,71.45133001640673,4.600525612339806,6.7364036689133595,12.555170065208667,5.5
4_ctxt1_sol_3.py,2,10,6.323715936088226,121.56849084752868,37.4105751067714,41.916783301036126,33.18932116715943,9.0
4_ctxtfull_sol_4.py,2,10,9.119708071948804e-09,3.9865791377122,3.9865791174961354,3.8536931502681324,0.7156128510761419,4.0
5_ctxt1_sol_3.py,2,10,0.02541354375906583,4.113084892102766,4.021967534010633,2.320945128964358,1.9754083750479772,2.0
0_random_search_sol_0.py,3,10,22.6175842736064,43.83214389215762,34.435285733124005,33.639369096451254,5.191337150796913,10.0
1a_ctxtfull_sol_0.py,3,10,0.019471363937149794,0.13114918634998374,0.06455838470230042,0.06381026077445674,0.026540611932714613,4.0
1b_ctxtfull_sol_2.py,3,10,0.01990277964383345,0.1251096377769434,0.052145166390667866,0.05742056347202888,0.027343579800901165,4.0
1_ctxt1_sol_2.py,3,10,0.568083461081638,1.3504981678882952,1.0535648633603485,1.0398998765446066,0.1832291776492891,7.5
2_ctxt1_sol_3.py,3,10,39.011573912659415,69.21113144622296,58.00484175618524,57.353196789267066,5.935760438785614,11.0
2_ctxtfull_sol_6.py,3,10,0.0034847117642980143,0.03371810245737139,0.011477375530575297,0.012852778732310199,0.007310951713898425,2.0
3_ctxt1_sol_0.py,3,10,0.2460798950333843,57.33864748728922,0.9768995821720166,7.169083085363318,13.061589265535474,7.5
3_ctxtfull_sol_3.py,3,10,0.19538460421590897,1.4433770834160038,0.7584598306011854,0.799462286331898,0.3725013360680304,6.0
4_ctxt1_sol_3.py,3,10,0.0,15.66352354459458,2.842578087792959,4.198341852710737,4.43590469616324,9.0
4_ctxtfull_sol_4.py,3,10,7.894152596543154e-05,0.0002934689868761241,0.00011566834049707477,0.00013633932676873932,5.636770615186779e-05,1.0
5_ctxt1_sol_3.py,3,10,0.0001746437887418761,2.0697160797464913,0.03538242714447424,0.15365154899927205,0.38287926181169063,4.0
0_random_search_sol_0.py,4,10,35.059052617359804,65.58474271840541,53.854995600853854,53.04885020299901,5.998387365826711,9.0
1a_ctxtfull_sol_0.py,4,10,16.91589975645547,61.68983842048451,30.845000384449122,33.46525868574519,12.428111479551587,7.0
1b_ctxtfull_sol_2.py,4,10,7.961415140801309,60.69763070314158,30.348056417022327,31.27952346160545,13.497887858840299,7.0
1_ctxt1_sol_2.py,4,10,1.3730662084642464,5.608747534297537,3.9193270327271303,3.6918854140996347,1.1259825120728904,1.0
2_ctxt1_sol_3.py,4,10,68.63829368055936,101.85471952248943,90.31246624529406,88.33856619064052,8.037002117395074,10.5
2_ctxtfull_sol_6.py,4,10,5.969749304955251,23.87897199108239,10.944544591327205,12.105323438774667,4.603280791794644,2.5
3_ctxt1_sol_0.py,4,10,31.93877168969519,131.6509271278722,88.87485256738219,83.52431194628522,27.417462076997186,10.5
3_ctxtfull_sol_3.py,4,10,8.247750141353947,37.25396181020744,19.23198379782231,19.47504852725241,6.50187660289152,4.5
4_ctxt1_sol_3.py,4,10,4.974795285466451,43.90996008110331,22.88402554460262,22.53500099753807,9.718548859702057,4.5
4_ctxtfull_sol_4.py,4,10,9.041620300086741,39.94066860385544,33.601911761041805,31.32503620666928,7.857693290254224,7.0
5_ctxt1_sol_3.py,4,10,3.979836228373161,14.924370742942134,10.447062542750938,10.546557268425337,2.7016936416439705,2.5
0_random_search_sol_0.py,5,10,259.67623441996017,919.5262831569124,585.7951069143426,628.003311772267,142.15619911912304,10.0
1a_ctxtfull_sol_0.py,5,10,5.946530639301572,412.2192492923879,60.316722550076676,89.3417477767087,89.3805122358066,8.5
1b_ctxtfull_sol_2.py,5,10,1.164087753813795,311.79007971231584,35.346911510356584,60.7794444558252,70.63285505704822,7.0
1_ctxt1_sol_2.py,5,10,0.34063467913560136,1.0163494125438177,0.6820377418592385,0.6893006264043433,0.17310361204648367,3.0
2_ctxt1_sol_3.py,5,10,1042.9418248663833,2639.6756376573276,2204.862318997588,2155.78842066705,341.247069793804,11.0
2_ctxtfull_sol_6.py,5,10,5.152266421912469,101.70474856687892,31.379052875976605,38.400889074903176,27.507068956936276,6.0
3_ctxt1_sol_0.py,5,10,0.32537946331047063,3592.420958470426,4.0230269097391105,569.7010012817816,1167.5959670377322,4.5
