,ctxtfull_sol_0.py,ctxtfull_sol_1.py,ctxtfull_sol_2.py,ctxtfull_sol_3.py,ctxtfull_sol_4.py,random_search_sol_0.py
ctxtfull_sol_0.py,0,4,0,11,11,11
ctxtfull_sol_1.py,-4,0,-5,11,11,11
ctxtfull_sol_2.py,0,5,0,10,11,10
ctxtfull_sol_3.py,-11,-11,-10,0,-4,-3
ctxtfull_sol_4.py,-11,-11,-11,4,0,-1
random_search_sol_0.py,-11,-11,-10,3,1,0
