,score,ranking
5_ctxt1_sol_3.py,43,1.0
1_ctxt1_sol_2.py,32,2.0
4_ctxt1_sol_3.py,8,3.0
3_ctxt1_sol_0.py,-1,4.0
0_random_search_sol_0.py,-31,5.0
2_ctxt1_sol_3.py,-51,6.0
