,0_random_search_sol_0.py,1_ctxt1_sol_2.py,2_ctxt1_sol_3.py,3_ctxt1_sol_0.py,4_ctxt1_sol_3.py,5_ctxt1_sol_3.py,score,ranking
5_ctxt1_sol_3.py,+,+,+,+,+,0,5,1.0
0_random_search_sol_0.py,0,=,+,+,=,-,1,2.5
1_ctxt1_sol_2.py,=,0,=,+,+,-,1,2.5
2_ctxt1_sol_3.py,-,=,0,+,=,-,-1,4.5
4_ctxt1_sol_3.py,=,-,=,+,0,-,-1,4.5
3_ctxt1_sol_0.py,-,-,-,0,-,-,-5,6.0
