,score,ranking
ctxtfull_sol_0.py,49,1.0
ctxtfull_sol_4.py,37,2.0
ctxtfull_sol_3.py,6,3.0
ctxtfull_sol_2.py,-14,4.0
ctxtfull_sol_1.py,-20,5.0
random_search_sol_0.py,-58,6.0
