,ctxtfull_sol_0.py,ctxtfull_sol_1.py,ctxtfull_sol_2.py,ctxtfull_sol_3.py,ctxtfull_sol_4.py,random_search_sol_0.py
ctxtfull_sol_0.py,0,11,11,8,7,12
ctxtfull_sol_1.py,-11,0,-3,-5,-12,11
ctxtfull_sol_2.py,-11,3,0,-6,-11,11
ctxtfull_sol_3.py,-8,5,6,0,-9,12
ctxtfull_sol_4.py,-7,12,11,9,0,12
random_search_sol_0.py,-12,-11,-11,-12,-12,0
