,ctxt1_sol_0.py,ctxt1_sol_1.py,ctxt1_sol_2.py,ctxt1_sol_3.py,ctxt1_sol_4.py,random_search_sol_0.py,score,ranking
ctxt1_sol_3.py,+,=,=,0,=,+,2,1.0
ctxt1_sol_1.py,=,0,=,=,=,+,1,3.0
ctxt1_sol_2.py,=,=,0,=,=,+,1,3.0
ctxt1_sol_4.py,=,=,=,=,0,+,1,3.0
ctxt1_sol_0.py,0,=,=,-,=,+,0,5.0
random_search_sol_0.py,-,-,-,-,-,0,-5,6.0
