,ctxt1_sol_0.py,ctxt1_sol_1.py,ctxt1_sol_2.py,ctxt1_sol_3.py,ctxt1_sol_4.py,random_search_sol_0.py
ctxt1_sol_0.py,0,2,-1,-4,0,9
ctxt1_sol_1.py,-2,0,-4,-5,-4,11
ctxt1_sol_2.py,1,4,0,0,0,11
ctxt1_sol_3.py,4,5,0,0,-1,10
ctxt1_sol_4.py,0,4,0,1,0,11
random_search_sol_0.py,-9,-11,-11,-10,-11,0
