,score,ranking
ctxt1_sol_3.py,18,1.0
ctxt1_sol_2.py,16,2.5
ctxt1_sol_4.py,16,2.5
ctxt1_sol_0.py,6,4.0
ctxt1_sol_1.py,-4,5.0
random_search_sol_0.py,-52,6.0
