,ctxtfull_sol_0.py,ctxtfull_sol_1.py,ctxtfull_sol_2.py,ctxtfull_sol_3.py,ctxtfull_sol_4.py,random_search_sol_0.py,score,ranking
ctxtfull_sol_3.py,+,+,+,0,+,+,5,1.0
ctxtfull_sol_4.py,+,+,+,-,0,+,3,2.0
ctxtfull_sol_1.py,=,0,+,-,-,=,-1,4.0
ctxtfull_sol_0.py,0,=,+,-,-,=,-1,4.0
random_search_sol_0.py,=,=,+,-,-,0,-1,4.0
ctxtfull_sol_2.py,-,-,0,-,-,-,-5,6.0
