,score,ranking
ctxtfull_sol_4.py,46,1.0
ctxtfull_sol_3.py,45,2.0
ctxtfull_sol_1.py,-13,3.0
ctxtfull_sol_0.py,-19,4.5
random_search_sol_0.py,-19,4.5
ctxtfull_sol_2.py,-40,6.0
