,score,ranking
5_ctxtfull_sol_0.py,53,1.0
4_ctxtfull_sol_4.py,42,2.0
2_ctxtfull_sol_6.py,10,3.0
1a_ctxtfull_sol_0.py,-5,4.0
1b_ctxtfull_sol_2.py,-8,5.0
3_ctxtfull_sol_3.py,-24,6.0
0_random_search_sol_0.py,-68,7.0
