,score,ranking
ctxtfull_sol_0.py,37,1.0
ctxtfull_sol_2.py,36,2.0
ctxtfull_sol_1.py,24,3.0
random_search_sol_0.py,-28,4.0
ctxtfull_sol_4.py,-30,5.0
ctxtfull_sol_3.py,-39,6.0
