algorithm,function,dim,min,max,median,mean,std,ranking
random_search_sol_0.py,6,10,80186.70629980114,15919917.94226459,4506403.492713691,4833790.037274649,3365540.231131914,6.0
ctxt1_sol_0.py,7,10,19.99899601638308,194.44272649581842,22.627490690547823,46.33812574827145,52.13211099497922,3.0
ctxt1_sol_1.py,7,10,19.99994886783823,83.78143761621224,23.637400632558773,32.54390243061405,16.891378419437743,3.0
ctxt1_sol_2.py,7,10,20.076947534622548,31.148027306354216,22.69570496135391,23.400235052135198,3.49071428983764,3.0
ctxt1_sol_3.py,7,10,20.11243737322043,52.68878889055754,22.749957703188045,23.646565271083887,5.891250989713008,3.0
ctxt1_sol_4.py,7,10,20.047155584931918,73.4348895264817,21.99857574907157,25.45434277319486,10.736115020718529,3.0
random_search_sol_0.py,7,10,56.348325333256014,79.96340801995763,67.81979801296197,67.55497526231237,6.607553489442999,6.0
ctxt1_sol_0.py,8,10,4.53781306412468,192.9834378071265,26.20201998800502,32.65515241571877,31.661424491627546,3.5
ctxt1_sol_1.py,8,10,20.197734169545203,148.7064321526196,29.684545652380354,33.91150450447716,22.407308373561893,5.0
ctxt1_sol_2.py,8,10,5.189622080077022,142.07451991656453,24.300209186435893,29.555323547433666,22.511057732880747,1.5
ctxt1_sol_3.py,8,10,20.412253404517045,39.161349504368175,22.842955214322174,24.640181351971084,4.421135720083462,1.5
ctxt1_sol_4.py,8,10,1.946894581604938,64.93444202291093,27.244050251453594,28.443002900235044,12.043724396260599,3.5
random_search_sol_0.py,8,10,29.527938464010838,41.923896879187396,35.42572414585641,35.22353106715409,2.903402184157946,6.0
ctxt1_sol_0.py,9,10,229.2843827084869,549.3905428561281,249.36503481877332,309.9418687982194,91.44634508173228,5.0
ctxt1_sol_1.py,9,10,229.28438270848687,400.9460647102433,229.84038670470585,262.24478857216667,55.73099993485544,1.5
ctxt1_sol_2.py,9,10,229.28438270848687,395.6501767437108,252.36432089706472,288.21022742534666,57.54089091533384,4.0
ctxt1_sol_3.py,9,10,229.28438270848687,384.03967210252546,232.9288787074982,247.35818393636282,39.92730787130569,1.5
ctxt1_sol_4.py,9,10,229.28438270848687,408.26442119991754,232.9288787074982,277.86026904924427,63.28300854633111,3.0
random_search_sol_0.py,9,10,281.77871057736525,364.3702841077673,329.89913364383875,326.92020104148446,20.17751518509041,6.0
ctxt1_sol_0.py,10,10,100.62175233825546,872.5314786821787,220.6451429298695,276.3051942482854,218.39081211668187,6.0
ctxt1_sol_1.py,10,10,100.22691397273714,519.4169423605157,115.13877122870076,174.13628564953325,92.22088426404841,4.0
ctxt1_sol_2.py,10,10,100.74942646152037,241.9367169608413,114.75444079569971,162.77708468295032,62.54363787429203,4.0
ctxt1_sol_3.py,10,10,100.58173437306797,239.94837666993695,161.85491759790102,163.87887314658565,58.778351485812316,1.5
ctxt1_sol_4.py,10,10,100.55867741110045,1080.1295946910193,115.08834376350569,233.42377004288738,219.32090356951505,4.0
random_search_sol_0.py,10,10,101.58925829623473,118.76261371110877,113.88918316943678,112.97596089074074,4.082414176593722,1.5
ctxt1_sol_0.py,11,10,166.62290462436584,1383.9970331233865,201.26233819181124,359.97617343897076,295.35864068124874,2.5
ctxt1_sol_1.py,11,10,166.62291423527375,883.7285200998643,199.20324574690966,334.1769752327633,230.2245754740273,2.5
ctxt1_sol_2.py,11,10,166.62783040902937,812.9335924845218,204.60493905287518,325.31419267792467,218.59588238119662,2.5
ctxt1_sol_3.py,11,10,166.62778083517458,812.751893255703,204.60493905287524,350.5194768078411,215.69986147731788,5.0
ctxt1_sol_4.py,11,10,166.6550909003475,812.9864315695016,203.0028875718649,316.3094705375149,213.1063943923102,2.5
random_search_sol_0.py,11,10,236.7408247628468,373.7893297083441,295.30541061027225,299.0167811450528,35.60867719019897,6.0
ctxt1_sol_0.py,12,10,162.44212066231836,226.72529951440953,172.764426884989,178.27876345376032,15.058060168648575,5.0
ctxt1_sol_1.py,12,10,162.44212066231836,190.0426350853964,169.14117388974068,169.88148145330126,6.934878737333285,2.5
ctxt1_sol_2.py,12,10,162.44212066231836,224.84749249256203,169.52266247198298,173.21447221506804,15.000948180023343,2.5
ctxt1_sol_3.py,12,10,161.53050572962889,243.45106081504207,169.1626407236451,170.81462428505424,14.317597304949622,2.5
ctxt1_sol_4.py,12,10,161.77869700659147,202.4865914289984,164.92178106849272,168.01250935966718,7.555160371502967,2.5
random_search_sol_0.py,12,10,188.4873290253785,218.10706387675106,203.26326660773685,202.80913435977376,8.305728142327611,6.0
