,score,ranking
ctxtfull_sol_3.py,35,1.0
ctxtfull_sol_4.py,28,2.0
ctxtfull_sol_2.py,17,3.0
ctxtfull_sol_0.py,5,4.0
ctxtfull_sol_1.py,-28,5.0
random_search_sol_0.py,-57,6.0
