,ctxtfull_sol_0.py,ctxtfull_sol_1.py,ctxtfull_sol_2.py,ctxtfull_sol_3.py,ctxtfull_sol_4.py,random_search_sol_0.py
ctxtfull_sol_0.py,0,5,-1,-4,-4,9
ctxtfull_sol_1.py,-5,0,-12,-12,-11,12
ctxtfull_sol_2.py,1,12,0,-5,-3,12
ctxtfull_sol_3.py,4,12,5,0,2,12
ctxtfull_sol_4.py,4,11,3,-2,0,12
random_search_sol_0.py,-9,-12,-12,-12,-12,0
