algorithm,function,dim,min,max,median,mean,std,ranking
ctxtfull_sol_0.py,1,10,5337.435692113338,28721.292808934963,17658.894463716373,15772.794338857782,6409.107402909655,6.0
ctxtfull_sol_1.py,1,10,624.0177277184439,8371.499095130073,4584.636757654613,4313.600447566781,1920.2518870656581,4.0
ctxtfull_sol_2.py,1,10,302.1152112228627,3069.587319369152,1191.4369717408968,1334.204357180054,659.9395463854804,3.0
ctxtfull_sol_3.py,1,10,150.85171254069388,2116.039844246734,514.9804936221897,706.6817308491353,477.4671256001736,1.5
ctxtfull_sol_4.py,1,10,136.449269126228,1990.8391810576247,717.5534703618346,840.7542255709867,511.45031012968286,1.5
random_search_sol_0.py,1,10,2423.6634199070327,7986.116538522073,6165.73619501794,5742.4804508228835,1438.5074713701858,5.0
ctxtfull_sol_0.py,2,10,0.06896401422304559,94.66334766684761,9.000400814509083,31.048645872895783,34.51242234605573,4.0
ctxtfull_sol_1.py,2,10,2.1745552140476705,92.76027380306148,39.37561230999118,44.247512679088025,29.814259765162262,5.0
ctxtfull_sol_2.py,2,10,0.11274926194585078,70.62682672469738,5.088054102644346,9.222869113074683,16.32914505686938,2.0
ctxtfull_sol_3.py,2,10,0.09561344232858338,71.45133001640673,4.600525612339806,6.7364036689133595,12.555170065208667,2.0
ctxtfull_sol_4.py,2,10,0.25591972144176056,69.40816037213509,2.3953021640424783,11.212315370290382,22.20470552665892,2.0
random_search_sol_0.py,2,10,53.90823586392323,230.70056221643736,179.02805821153305,176.34440412353194,37.09111628231727,6.0
ctxtfull_sol_0.py,3,10,0.10909018879753835,0.5414827200897467,0.227277335871865,0.23573181495959114,0.0897915202195505,1.0
ctxtfull_sol_1.py,3,10,1.8391768059665,10.474437123877157,4.804643724168876,4.8700451302858765,1.8438785201527363,5.0
ctxtfull_sol_2.py,3,10,0.44384272510997347,4.471626237801026,1.4069353503720463,1.563397758516046,0.82544506391376,3.5
ctxtfull_sol_3.py,3,10,0.19538460421590897,1.4433770834160038,0.7584598306011854,0.799462286331898,0.3725013360680304,2.0
ctxtfull_sol_4.py,3,10,0.32391452442903496,4.668373057424312,1.218029774237962,1.3939975377064149,0.9520903224782651,3.5
random_search_sol_0.py,3,10,22.6175842736064,43.83214389215762,34.435285733124005,33.639369096451254,5.191337150796913,6.0
ctxtfull_sol_0.py,4,10,9.967841960616791,49.770523225238904,21.40652110715611,25.199667875383195,9.92877354156086,4.0
ctxtfull_sol_1.py,4,10,15.031333878922123,54.462142316106984,36.92407333122122,35.70179595594901,10.16781720019467,5.0
ctxtfull_sol_2.py,4,10,6.773728283122127,37.161098912888775,21.114155720096868,21.28842452916154,7.3730343773441716,3.0
ctxtfull_sol_3.py,4,10,8.247750141353947,37.25396181020744,19.23198379782231,19.47504852725241,6.50187660289152,2.0
ctxtfull_sol_4.py,4,10,6.134499497715424,35.834675329508116,14.983199747028776,16.383244890759993,7.3360451696230555,1.0
random_search_sol_0.py,4,10,35.059052617359804,65.58474271840541,53.854995600853854,53.04885020299901,5.998387365826711,6.0
ctxtfull_sol_0.py,5,10,15.285746907198124,1653.274206724661,323.8563078715428,414.6259998415233,350.33345562992423,4.5
ctxtfull_sol_1.py,5,10,26.355386150364694,693.6242987505213,267.297409799884,286.5936740729221,174.02295698350676,4.5
ctxtfull_sol_2.py,5,10,6.1503512078867475,387.47961439748894,69.37653113151501,107.97126771310162,100.61940928679643,2.5
ctxtfull_sol_3.py,5,10,0.35074810885772273,177.2168982490019,58.84437058832099,67.68857510544471,49.10650865703031,2.5
ctxtfull_sol_4.py,5,10,2.7936068529678484,112.11645269332956,33.100721100197624,38.182673356342,25.749274610730453,1.0
random_search_sol_0.py,5,10,259.67623441996017,919.5262831569124,585.7951069143426,628.003311772267,142.15619911912304,6.0
ctxtfull_sol_0.py,6,10,116.97696183834037,35621.74829340996,4239.122940802146,5539.3191402068505,6592.108485444337,2.0
ctxtfull_sol_1.py,6,10,16314.369339350238,4331146.7256463645,207164.54891542805,732925.9298086313,1052885.331546284,5.0
ctxtfull_sol_2.py,6,10,474.37138380361387,926186.5788773552,27681.671217954172,99932.84088180875,225803.20595847836,3.5
ctxtfull_sol_3.py,6,10,1802.4644627933342,538789.6415021663,20832.946905956265,59167.43048154666,111871.82966252825,3.5
ctxtfull_sol_4.py,6,10,23.588095407766524,91469.67280831783,623.1621120350114,5332.003630767881,16896.437927844716,1.0
random_search_sol_0.py,6,10,80186.70629980114,15919917.94226459,4506403.492713691,4833790.037274649,3365540.231131914,6.0
ctxtfull_sol_0.py,7,10,1.162368249700822,23.23054693266277,20.636384406152644,17.736393293049527,6.945856423045793,2.0
ctxtfull_sol_1.py,7,10,5.804579309617823,41.026149485832306,30.7391726065361,29.011938315776522,7.608611562582547,5.0
ctxtfull_sol_2.py,7,10,2.4743930912676397,31.405254648475896,22.72419520892319,18.538452976852238,8.87154343908542,4.0
ctxtfull_sol_3.py,7,10,1.9747539683114477,24.004011755149744,21.114305728920357,15.088238466844812,8.485531801452666,2.0
ctxtfull_sol_4.py,7,10,0.8332579512139201,28.399438269578393,16.304858606776136,14.331675603645955,9.561321724056313,2.0
random_search_sol_0.py,7,10,56.348325333256014,79.96340801995763,67.81979801296197,67.55497526231237,6.607553489442999,6.0
ctxtfull_sol_0.py,8,10,14.520459601795473,21.827083306254252,20.878281495278273,20.585127260409088,1.5061420423569767,1.5
ctxtfull_sol_1.py,8,10,19.937987544415076,27.739639428044708,24.3713087843056,24.448010120896118,1.4160909350147124,5.0
ctxtfull_sol_2.py,8,10,7.529662418320889,23.4836152105345,22.057652763143643,20.008032937590478,4.650944397746723,3.5
ctxtfull_sol_3.py,8,10,5.162909476185511,22.55262079824573,21.18240048945811,18.540069594366337,5.477959187912595,1.5
ctxtfull_sol_4.py,8,10,19.133310597218948,23.910592146351064,22.224001567710175,22.09693332959501,0.9499109549871806,3.5
random_search_sol_0.py,8,10,29.527938464010838,41.923896879187396,35.42572414585641,35.22353106715409,2.903402184157946,6.0
ctxtfull_sol_0.py,9,10,230.12612983557975,276.8079290966981,247.08905165069984,248.75742389894046,12.488222885678919,4.5
ctxtfull_sol_1.py,9,10,231.03054834467343,277.5494274024234,243.92518443955714,247.12837160237527,10.551842694495662,4.5
ctxtfull_sol_2.py,9,10,230.12771106156583,244.51658413935428,233.03480308207295,234.535070681283,3.7638107285175924,2.0
ctxtfull_sol_3.py,9,10,229.33970464666527,238.33560474632856,231.1858255977401,231.72649242981112,2.1253639973451706,1.0
ctxtfull_sol_4.py,9,10,231.18915110524185,245.83725247331347,236.13066800738252,236.7714702614666,4.398336672502275,3.0
random_search_sol_0.py,9,10,281.77871057736525,364.3702841077673,329.89913364383875,326.92020104148446,20.17751518509041,6.0
ctxtfull_sol_0.py,10,10,0.23291121074970306,243.427625515339,100.80570398249067,144.34921686283886,76.05693773600674,4.0
ctxtfull_sol_1.py,10,10,100.60018565880033,102.23944297040592,101.1116089762273,101.24892018379298,0.4107398340312108,5.0
ctxtfull_sol_2.py,10,10,100.59141150115828,101.62933701576999,100.82741021082508,100.92096149225746,0.268930272355102,2.0
ctxtfull_sol_3.py,10,10,100.41112945298396,101.43349418752818,100.81006018520385,100.80827231953094,0.24422753910860456,2.0
ctxtfull_sol_4.py,10,10,100.42065784528344,101.78486795356139,100.82115730028755,100.90743330488755,0.35355884133277116,2.0
random_search_sol_0.py,10,10,101.58925829623473,118.76261371110877,113.88918316943678,112.97596089074074,4.082414176593722,6.0
ctxtfull_sol_0.py,11,10,1.5586841041104784,603.1216142485634,150.87479164813425,190.64038906579813,180.9701541721757,4.0
ctxtfull_sol_1.py,11,10,40.78352147635858,339.99420883490836,152.33918073140072,141.23020190805943,52.478988664228844,5.0
ctxtfull_sol_2.py,11,10,4.380630827964867,151.97489375145983,46.670974050143855,82.15579576468606,65.29295422409308,2.0
ctxtfull_sol_3.py,11,10,4.216424473387009,319.7438804021516,150.59154755221812,90.2810677933288,81.89591457783513,2.0
ctxtfull_sol_4.py,11,10,5.256307861799616,401.6066173756989,28.187026870599034,84.57101585602757,105.48652319805709,2.0
random_search_sol_0.py,11,10,236.7408247628468,373.7893297083441,295.30541061027225,299.0167811450528,35.60867719019897,6.0
ctxtfull_sol_0.py,12,10,162.96815902208547,200.32766709708787,169.45879578672032,173.93764511908432,9.518782287893265,4.0
ctxtfull_sol_1.py,12,10,163.1176506135785,192.8048395797756,171.6177748226967,172.90806552967612,6.37141793351759,4.0
ctxtfull_sol_2.py,12,10,161.03870444327595,179.47640824117167,167.96678826310094,168.27917143795193,3.8941712557302344,1.5
ctxtfull_sol_3.py,12,10,163.4986248863544,171.83080323279415,167.1887023193386,167.54847804241808,2.4580873422980924,1.5
ctxtfull_sol_4.py,12,10,165.78789804761084,203.81859798731261,172.0298132522791,174.57771803461912,8.611133186004777,4.0
random_search_sol_0.py,12,10,188.4873290253785,218.10706387675106,203.26326660773685,202.80913435977376,8.305728142327611,6.0
